"";BBBK10.M.TXI301;BBBK10.M.TXI301_FLAGS
"";Geldmenge M1 / Deutscher Beitrag;
Einheit;EURO;
Dimension;Millionen;
Stand vom;01.04.2026 10:40:44 Uhr;
1980-01;121047;
1980-02;119003;
1980-03;122082;
1980-04;119348;
1980-05;120310;
1980-06;126466;
1980-07;125592;
1980-08;124670;
1980-09;126784;
1980-10;123020;
1980-11;137204;
1980-12;127594;
1981-01;123199;
1981-02;123245;
1981-03;124269;
1981-04;120295;
1981-05;125212;
1981-06;128804;
1981-07;122779;
1981-08;125909;
1981-09;125248;
1981-10;120645;
1981-11;134572;
1981-12;125941;
1982-01;125809;
1982-02;126079;
1982-03;125697;
1982-04;123038;
1982-05;128593;
1982-06;132582;
1982-07;127333;
1982-08;131588;
1982-09;131742;
1982-10;129029;
1982-11;142601;
1982-12;135142;
1983-01;136304;
1983-02;137709;
1983-03;133911;
1983-04;135854;
1983-05;142775;
1983-06;146385;
1983-07;146070;
1983-08;144640;
1983-09;139793;
1983-10;141791;
1983-11;154480;
1983-12;146436;
1984-01;145576;
1984-02;145075;
1984-03;139131;
1984-04;142075;
1984-05;146234;
1984-06;145072;
1984-07;148568;
1984-08;142534;
1984-09;148705;
1984-10;144554;
1984-11;153182;
1984-12;155219;
1985-01;150050;
1985-02;150533;
1985-03;148298;
1985-04;144406;
1985-05;146335;
1985-06;153403;
1985-07;153486;
1985-08;148582;
1985-09;155229;
1985-10;153213;
1985-11;161426;
1985-12;164427;
1986-01;155691;
1986-02;156126;
1986-03;162609;
1986-04;160348;
1986-05;161844;
1986-06;170148;
1986-07;170088;
1986-08;169721;
1986-09;172244;
1986-10;166871;
1986-11;183548;
1986-12;178872;
1987-01;169723;
1987-02;171417;
1987-03;175736;
1987-04;174288;
1987-05;181146;
1987-06;188081;
1987-07;181064;
1987-08;187904;
1987-09;188004;
1987-10;183553;
1987-11;201938;
1987-12;191829;
1988-01;190216;
1988-02;194521;
1988-03;187952;
1988-04;191094;
1988-05;200646;
1988-06;205337;
1988-07;204453;
1988-08;203627;
1988-09;198313;
1988-10;202288;
1988-11;219587;
1988-12;214020;
1989-01;211893;
1989-02;213164;
1989-03;204786;
1989-04;205549;
1989-05;212501;
1989-06;209190;
1989-07;216103;
1989-08;213753;
1989-09;207745;
1989-10;211804;
1989-11;228706;
1989-12;227236;
1990-01;218530;
1990-02;220527;
1990-03;210219;
1990-04;215304;
1990-05;220012;
1990-06;243742;
1990-07;256521;
1990-08;250321;
1990-09;257793;
1990-10;253445;
1990-11;267465;
1990-12;292183;
1991-01;277268;
1991-02;281760;
1991-03;272496;
1991-04;271963;
1991-05;273675;
1991-06;281905;
1991-07;285249;
1991-08;276332;
1991-09;284530;
1991-10;279149;
1991-11;293517;
1991-12;304494;
1992-01;277868;
1992-02;278259;
1992-03;278475;
1992-04;282164;
1992-05;284470;
1992-06;289024;
1992-07;286940;
1992-08;290438;
1992-09;294356;
1992-10;297289;
1992-11;327039;
1992-12;331885;
1993-01;306147;
1993-02;307065;
1993-03;305363;
1993-04;307896;
1993-05;311197;
1993-06;316214;
1993-07;315943;
1993-08;319186;
1993-09;322386;
1993-10;326648;
1993-11;354044;
1993-12;360887;
1994-01;343983;
1994-02;340929;
1994-03;336530;
1994-04;341570;
1994-05;344567;
1994-06;350476;
1994-07;347113;
1994-08;347676;
1994-09;350076;
1994-10;355315;
1994-11;374413;
1994-12;378781;
1995-01;355868;
1995-02;355080;
1995-03;349244;
1995-04;353504;
1995-05;358257;
1995-06;360783;
1995-07;361625;
1995-08;360794;
1995-09;364014;
1995-10;368822;
1995-11;391292;
1995-12;405026;
1996-01;383190;
1996-02;386264;
1996-03;386103;
1996-04;391183;
1996-05;392465;
1996-06;397790;
1996-07;396970;
1996-08;397229;
1996-09;405446;
1996-10;409395;
1996-11;430388;
1996-12;456856;
1997-01;421674;
1997-02;423430;
1997-03;423608;
1997-04;425294;
1997-05;429832;
1997-06;436933;
1997-07;436283;
1997-08;435690;
1997-09;437276;
1997-10;438210;
1997-11;457341;
1997-12;465008;
1998-01;443243;
1998-02;447130;
1998-03;449502;
1998-04;456739;
1998-05;456358;
1998-06;463474;
1998-07;457030;
1998-08;465432;
1998-09;466895;
1998-10;474948;
1998-11;501360;
1998-12;513354;
1999-01;504250;
1999-02;506443;
1999-03;505143;
1999-04;512824;
1999-05;524698;
1999-06;535042;
1999-07;530242;
1999-08;529355;
1999-09;535301;
1999-10;536215;
1999-11;564283;
1999-12;557605;
2000-01;559719;
2000-02;564439;
2000-03;560219;
2000-04;571350;
2000-05;561615;
2000-06;560966;
2000-07;556530;
2000-08;547822;
2000-09;545737;
2000-10;548949;
2000-11;570811;
2000-12;574580;
2001-01;559104;
2001-02;569089;
2001-03;569115;
2001-04;578632;
2001-05;581231;
2001-06;587155;
2001-07;580682;
2001-08;579380;
2001-09;593935;
2001-10;590692;
2001-11;611129;
2001-12;601637;
2002-01;520011;
2002-02;519356;
2002-03;516672;
2002-04;525702;
2002-05;531443;
2002-06;544638;
2002-07;539683;
2002-08;534474;
2002-09;549624;
2002-10;550827;
2002-11;582587;
2002-12;583543;
2003-01;573977;
2003-02;579549;
2003-03;586521;
2003-04;594468;
2003-05;600676;
2003-06;617461;
2003-07;605044;
2003-08;607162;
2003-09;617340;
2003-10;620699;
2003-11;643188;
2003-12;631940;
2004-01;640507;
2004-02;645295;
2004-03;646752;
2004-04;652686;
2004-05;649826;
2004-06;653547;
2004-07;644778;
2004-08;646380;
2004-09;660657;
2004-10;656942;
2004-11;685186;
2004-12;655372;
2005-01;678997;
2005-02;683988;
2005-03;684111;
2005-04;686607;
2005-05;696118;
2005-06;706305;
2005-07;706793;
2005-08;708541;
2005-09;715797;
2005-10;718750;
2005-11;734392;
2005-12;725791;
2006-01;728200;
2006-02;725625;
2006-03;733440;
2006-04;742459;
2006-05;746860;
2006-06;750298;
2006-07;740445;
2006-08;734097;
2006-09;734950;
2006-10;728184;
2006-11;755748;
2006-12;760042;
2007-01;759139;
2007-02;758312;
2007-03;761961;
2007-04;759667;
2007-05;768047;
2007-06;777824;
2007-07;780410;
2007-08;773043;
2007-09;785529;
2007-10;774220;
2007-11;804904;
2007-12;789697;
2008-01;792870;
2008-02;788387;
2008-03;796589;
2008-04;783363;
2008-05;788100;
2008-06;796257;
2008-07;773926;
2008-08;776169;
2008-09;793071;
2008-10;823597;
2008-11;832793;
2008-12;832831;
2009-01;891827;
2009-02;909068;
2009-03;906385;
2009-04;921962;
2009-05;925456;
2009-06;945213;
2009-07;947497;
2009-08;960154;
2009-09;980322;
2009-10;1008044;
2009-11;1031884;
2009-12;1015937;
2010-01;1045782;
2010-02;1046465;
2010-03;1031822;
2010-04;1072529;
2010-05;1085607;
2010-06;1087600;
2010-07;1084895;
2010-08;1087186;
2010-09;1087948;
2010-10;1090251;
2010-11;1116810;
2010-12;1106710;
2011-01;1121499;
2011-02;1105827;
2011-03;1108587;
2011-04;1114233;
2011-05;1116030;
2011-06;1124061;
