,,1962,,1963,,1964,,1965,,1966,,1967,,1968,,1969,,1970,,1971,,1972,,1973,,1974,,1975,,1976,,1977,,1978,,1979,,1980,,1981,,1982,,1983,,1984,,1985,,1986,,1987,,1988,,1989,,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
EGW-1-8,Food and industrial products,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
EGW1,Live animals,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,84.3,e,75.5,e,76.4,e,76.8,e,77.6,e,84.9,e,86.8,e,83.9,e,86.8,e,84.7,e,84.2,e,91.2,e,98.6,e,100.7,e,100.9,e,98.7,e,96.2,e,99.3,e,95.6,e,101.1,e,96.4,e,100,e,125.8,e,143.1,e,141.4,e,162.9,e
EGW1-2,Nutritional goods of animal origin,32.2,e,34.5,e,37.6,e,41.2,e,42.6,e,42,e,41.9,e,43.8,e,42.5,e,44.4,e,49.5,e,52.1,e,54.7,e,58.6,e,60.2,e,63.1,e,64.6,e,65.3,e,66.7,e,71.7,e,74.9,e,75.2,e,75.1,e,75.4,e,71.4,e,70.4,e,73.1,e,76.6,e,71.2,e,71.2,e,73.7,e,70.9,e,70.9,e,70.3,e,69.4,e,71,e,71.8,e,69.7,e,73.9,e,77.7,e,75.6,e,74.3,e,75.3,e,77.3,e,79.9,e,85.2,e,87.1,e,79.5,e,85.3,e,92.8,e,96.6,e,100.2,e,98.5,e,93.2,e,92.2,e,98.8,e,95.3,e,99.2,e,98.7,e,100,e,127,e,128.9,e,128.6,e,134.1,e
EGW1-4,Food,38.3,e,42,e,42.3,e,42.6,e,43.6,e,42.9,e,42,e,42.9,e,43.4,e,44.5,e,46.6,e,51.9,e,57.3,e,57.4,e,59.3,e,62,e,61.7,e,63.6,e,67.5,e,71.8,e,72.8,e,74.3,e,77.1,e,76.1,e,70.9,e,67.4,e,69.7,e,71.8,e,68.7,e,69.6,e,70.3,e,68.6,e,70.2,e,69.6,e,70,e,72,e,71.8,e,69.6,e,71.8,e,74.1,e,73.6,e,72.8,e,73.1,e,72.9,e,75.4,e,80.9,e,84.9,e,79.4,e,83.5,e,91.1,e,93.8,e,94.9,e,93.8,e,92.7,e,92.4,e,95.3,e,95.2,e,97.6,e,97.2,e,100,e,120.4,e,126.9,e,129.6,e,135.4,e
EGW2,Food of animal origin,30.7,e,33.1,e,36.3,e,39.6,e,40.2,e,39.4,e,39.3,e,40.7,e,40.6,e,43,e,45.8,e,49.2,e,54.6,e,56.7,e,57.4,e,60.8,e,62.2,e,62.9,e,64.5,e,69.7,e,72.8,e,73.1,e,73.2,e,73.7,e,69.7,e,68.7,e,71.4,e,74.6,e,69.8,e,70.4,e,72.2,e,69.4,e,69.3,e,69.1,e,68.9,e,70.3,e,71.3,e,69.2,e,73.2,e,77.8,e,75.5,e,74.1,e,75,e,76.8,e,79.4,e,85.2,e,87,e,79.1,e,85.3,e,92.8,e,96.5,e,100.1,e,98.3,e,92.7,e,91.9,e,98.7,e,95.2,e,99,e,98.7,e,100,e,127,e,128.2,e,128.1,e,132.8,e
EGW3,Food of vegetable origin,44.9,e,50.8,e,50.2,e,48.5,e,49.4,e,49.4,e,47.8,e,47.7,e,50.1,e,50.8,e,50.7,e,61.9,e,73.8,e,69.3,e,70.8,e,71.6,e,69.2,e,71.6,e,76.6,e,80.6,e,79,e,82.6,e,88.6,e,84.1,e,73.5,e,69.6,e,72.5,e,74,e,70.3,e,70.6,e,69.9,e,69.2,e,71.5,e,70.6,e,72.2,e,73.2,e,72.2,e,69.9,e,70.8,e,73.1,e,73.9,e,73.1,e,72.8,e,70.1,e,72.9,e,79.6,e,85.7,e,80,e,82.6,e,90.2,e,93.6,e,93.9,e,91.4,e,91.8,e,91.8,e,92.8,e,95.1,e,96.7,e,96,e,100,e,117,e,126.4,e,130.2,e,133.1,e
EGW3-4,Nutritional goods of vegetable origin,41.5,e,45.8,e,44.8,e,43.6,e,44.4,e,43.7,e,42.2,e,42.3,e,44.1,e,44.6,e,44.6,e,51.8,e,59.3,e,56.6,e,58.5,e,61.1,e,59.6,e,62.3,e,67.9,e,71.8,e,70.9,e,73.4,e,78.5,e,76.6,e,70.5,e,65.7,e,67.5,e,68.8,e,67.3,e,68.5,e,68.1,e,67.1,e,69.7,e,69.2,e,70.2,e,72.4,e,71.6,e,69.6,e,70.7,e,72.3,e,72.6,e,72.1,e,72,e,70.5,e,73,e,78.6,e,83.7,e,79.4,e,82.6,e,90.1,e,92.2,e,92,e,91.1,e,92.4,e,92.4,e,93.5,e,95.2,e,96.7,e,96.4,e,100,e,117.4,e,126,e,130,e,136,e
EGW4,"tea, coffee, tobacco, alcoholic beverages",37.1,e,38.2,e,36.2,e,35.9,e,37,e,34.2,e,33.1,e,33.6,e,34.3,e,34.3,e,34.4,e,33.7,e,32.4,e,33,e,35.9,e,41.5,e,41.4,e,44.6,e,50.9,e,54.5,e,55,e,55.3,e,58.7,e,61.7,e,63.7,e,57.2,e,57.2,e,58.2,e,60.3,e,62.5,e,62.8,e,60.9,e,64.5,e,65.3,e,64.9,e,70.3,e,70,e,68.3,e,69.9,e,69.2,e,68.5,e,68.7,e,69.1,e,70.9,e,72.7,e,75.3,e,77.6,e,76.9,e,81.7,e,89.2,e,87.6,e,85.8,e,89.7,e,93.6,e,93.4,e,94.9,e,94.4,e,95.6,e,96.3,e,100,e,119.6,e,123.9,e,128.7,e,152.2,e
EGW5,Raw materials,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,48.8,e,54.1,e,52.3,e,52,e,50.7,e,56.8,e,66.2,e,66.6,e,73.8,e,68.1,e,73.2,e,83.3,e,88.8,e,87.7,e,82.5,e,77.2,e,68.1,e,74.4,e,78,e,67.8,e,60.3,e,100,e,218.1,e,149,e,121.2,e,129.7,e
EGW5-6,Raw materials and semi-finished goods,20,e,19.8,e,20.6,e,21,e,21.3,e,21.1,e,20.9,e,21.4,e,21.9,e,22.2,e,21.9,e,25,e,35.1,e,34.4,e,35.8,e,35,e,34.5,e,39,e,43.6,e,48.9,e,50.2,e,50,e,52.9,e,54.2,e,45.5,e,41.9,e,43.4,e,45.5,e,43.7,e,41.8,e,40.2,e,39.1,e,40.6,e,42.1,e,40.8,e,42.6,e,40.8,e,39.6,e,47.3,e,48.3,e,47.2,e,47.6,e,51.4,e,58.4,e,67.5,e,70.5,e,79.2,e,65.3,e,76.6,e,88.6,e,90.8,e,86.3,e,82.4,e,76.5,e,70,e,77.7,e,83.7,e,80.2,e,71.5,e,100,e,158.9,e,124.6,e,115.7,e,118.6,e
EGW5-8,Industrial products,33.8,e,33.8,e,34.4,e,35.3,e,36,e,36,e,35.6,e,37.1,e,38.3,e,39.6,e,40.3,e,42.8,e,50.2,e,52.2,e,54.3,e,55.1,e,56.1,e,58.8,e,62.5,e,66.1,e,69.1,e,70.3,e,72.7,e,74.8,e,73.7,e,73.1,e,74.6,e,76.7,e,77,e,77.8,e,78.4,e,78.5,e,79.1,e,80.3,e,80.3,e,81.5,e,81.4,e,81.1,e,83.6,e,84.3,e,84.1,e,83.9,e,84.5,e,85.3,e,86.7,e,87.6,e,88.9,e,87.2,e,89.8,e,92.3,e,93.8,e,93.1,e,92.8,e,93.8,e,92.7,e,94.2,e,95.4,e,95.7,e,95,e,100,e,113.2,e,113.5,e,113.6,e,114.3,e
EGW6,Semi-finished goods,19.1,e,18.8,e,19.5,e,20,e,20.5,e,20.6,e,20.4,e,20.9,e,21.6,e,21.5,e,20.8,e,24.3,e,36.1,e,33.8,e,35,e,34,e,33.5,e,38.6,e,44,e,49.6,e,50.7,e,50.7,e,53.2,e,54.5,e,45,e,41.4,e,43.2,e,45.5,e,43.6,e,41.7,e,40,e,38.9,e,40,e,41.2,e,40.3,e,42.2,e,40.2,e,39.1,e,46.7,e,46.7,e,45.8,e,46.4,e,51.3,e,58.4,e,67.4,e,71.1,e,80,e,64.3,e,76.9,e,89.4,e,90.8,e,85.5,e,81.9,e,76.2,e,70.4,e,78.5,e,85.2,e,83.7,e,74.6,e,100,e,142.8,e,118,e,114.2,e,115.5,e
EGW7,Intermediate products,36.1,e,35.3,e,36.6,e,36.6,e,36.6,e,35.9,e,35.3,e,37.3,e,37.7,e,36.7,e,36.6,e,40.3,e,52.5,e,49.5,e,51.1,e,49.8,e,50.5,e,54.6,e,58.8,e,62.1,e,65,e,65,e,68.1,e,70.4,e,66.8,e,64.7,e,67.5,e,70.7,e,68.6,e,67.5,e,65.2,e,63.3,e,64.3,e,68.3,e,66,e,66.8,e,66.7,e,64.9,e,69.6,e,70.2,e,68.8,e,68.7,e,70.8,e,74.5,e,78.9,e,82.7,e,84.7,e,79,e,83.8,e,90.1,e,90,e,88.3,e,87.6,e,87.2,e,85.1,e,89,e,91.9,e,90.8,e,88.5,e,100,e,123.7,e,118.2,e,114.3,e,114,e
EGW7-8,Finished goods,35.2,e,35.2,e,35.9,e,36.8,e,37.6,e,37.7,e,37.2,e,38.7,e,40,e,41.5,e,42.4,e,44.7,e,51.2,e,53.7,e,55.8,e,57,e,58.1,e,60.4,e,63.8,e,67,e,70.2,e,71.6,e,73.8,e,76,e,76,e,75.9,e,77.4,e,79.5,e,79.9,e,81.2,e,82,e,82.4,e,82.7,e,83.9,e,84.1,e,85.1,e,85.3,e,85.1,e,87,e,87.7,e,87.7,e,87.5,e,87.5,e,87.7,e,88.3,e,88.8,e,89.4,e,89,e,90.7,e,92.4,e,93.7,e,93.4,e,93.6,e,95.1,e,94.6,e,95.5,e,96.2,e,96.9,e,96.9,e,100,e,109.5,e,112.6,e,113.4,e,114,e
EGW8,End products,34.3,e,34.5,e,35.1,e,36.1,e,37.1,e,37.5,e,37,e,38.6,e,40,e,42.2,e,43.5,e,45.3,e,49.9,e,54,e,56.2,e,58,e,59.4,e,61,e,64.3,e,67.2,e,70.5,e,72.4,e,74.2,e,76.3,e,77.3,e,77.8,e,78.9,e,80.6,e,81.9,e,83.7,e,85.3,e,86.3,e,86.7,e,87,e,88,e,88.9,e,89.2,e,89.5,e,90.6,e,91.4,e,91.6,e,91.3,e,90.9,e,90.1,e,89.8,e,89.7,e,90,e,90.8,e,91.8,e,92.6,e,94.2,e,94.2,e,94.5,e,96.4,e,96.2,e,96.6,e,96.9,e,97.8,e,98.2,e,100,e,107.3,e,111.7,e,113.2,e,114,e
