statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,3_variable_code,3_variable_label,3_variable_attribute_code,3_variable_attribute_label,4_variable_code,4_variable_label,4_variable_attribute_code,4_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,10833.457,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2008,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,14093.733,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2006,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,12686.318,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,15335.833,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,10141.463,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,14773.587,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,12028.582,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,9926.683,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,10617.623,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,16440.01,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2007,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,13492.678,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2020,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,21358.268,unit app.,VGR069,Gross stock of fixed assets,e
81000,National accounts of the Federation,JAHR,Year,2001,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB6,Price base (replacement cost / price-adjusted),VGRWP01,Current replacement cost (billion EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,11409.059,unit app.,VGR069,Gross stock of fixed assets,e
