time,value
0,0.40099684234898536
1,0.40341592371190427
2,0.4114798506545445
3,0.41522373229631826
4,0.4152116089784931
5,0.40777303538193443
6,0.4161655737560487
7,0.41861407444337395
8,0.41838901137884654
9,0.42738001925418323
10,0.4346094795647707
11,0.4474938177156278
12,0.4584464914504415
13,0.4483733209939853
14,0.42397796977108015
15,0.43417706241058485
16,0.43883269886227494
17,0.42802467306394076
18,0.42567276672821575
19,0.4268525092316864
20,0.4247859318897593
21,0.42377685781450947
22,0.42446262485980546
23,0.41612513484355396
24,0.409030895381279
25,0.39694428299632434
26,0.4158532480156647
27,0.43014209670284687
28,0.42401407564401583
