statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-L,Real estate activities,522.1263,mn h,STD003,Hours worked by employees (domestic concept),p
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-L,Real estate activities,502,1000,ERW063,Persons in employment (domestic concept),p
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-J,Information and communication,1426.5,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-J,Information and communication,31.816,EUR bn,VST020,Gross wages and salaries (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-J,Information and communication,909,1000,ERW061,Employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-J,Information and communication,39.684,EUR bn,ETG005,Compensation of employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-J,Information and communication,1490.4,h,STD007,Hours worked per person in empl. (dom. concept),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-J,Information and communication,1482.9421,mn h,STD002,Hours worked by persons in empl.(domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-J,Information and communication,1296.6874,mn h,STD003,Hours worked by employees (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-J,Information and communication,995,1000,ERW063,Persons in employment (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-04,Service activities,1289.7,h,STD008,Hours worked per employee (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-04,Service activities,849.467,EUR bn,VST020,Gross wages and salaries (domestic concept),e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,WZ08G2,WZ2008: Industries in national accounts,WZ08-G-04,Service activities,28235,1000,ERW061,Employees (domestic concept),e
