statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,3_variable_code,3_variable_label,3_variable_attribute_code,3_variable_attribute_label,4_variable_code,4_variable_label,4_variable_attribute_code,4_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,2007,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,426.258,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2005,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,395.096,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2014,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,528.535,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,1995,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,310.882,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2002,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,377.251,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,644.318,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,857.85,unit app.,ABS002,Consumption of fixed capital,p
81000,National accounts of the Federation,JAHR,Year,2003,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,380.833,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,584.97,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,1997,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,326.73,unit app.,ABS002,Consumption of fixed capital,e
