statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,3_variable_code,3_variable_label,3_variable_attribute_code,3_variable_attribute_label,4_variable_code,4_variable_label,4_variable_attribute_code,4_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,498.036,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2008,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,444.037,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2000,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,358.21,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2021,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,708.866,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2006,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,405.586,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2020,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,666.479,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,512.916,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,1999,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,343.488,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2001,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,369.707,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,614.612,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,480.775,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2015,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,545.183,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2016,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,561.626,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2009,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,454.781,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,464.644,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,1996,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,318.608,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2022,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,797.686,unit app.,ABS002,Consumption of fixed capital,p
81000,National accounts of the Federation,JAHR,Year,1998,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,334.655,unit app.,ABS002,Consumption of fixed capital,e
81000,National accounts of the Federation,JAHR,Year,2004,DINSG,Germany,DG,Germany,VGRAN1,Types of fixed assets,VGRANLART001,Assets,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),WZ08G3,WZ2008: Industries in national accounts,WZ08-A-02,All economic sectors,388.085,unit app.,ABS002,Consumption of fixed capital,e
