time,value
0,0.0009516428504007131
1,0.009804262530447196
2,0.004500814980009361
3,0.002049065048460646
4,0.006532051708143067
5,0.00994834909026653
6,-0.00548274762112274
7,-0.004290559165601559
8,0.004749290405211135
9,0.00448459832478754
10,0.0281821068511898
11,0.01290630459117743
12,-0.005272639662615547
13,-0.05961012631388146
14,0.03405353721329246
15,0.025210423432958415
16,-0.007575082396390175
17,-0.005150718175607774
18,0.01131226063427186
19,0.006094490912918265
20,0.009045991183817374
21,0.014000801775911722
22,-0.00262087479605317
23,-0.0017698608357441482
24,-0.04199228629199378
25,0.032881424812233176
26,0.005367970940484894
27,-0.017385185011559265
