statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,value_q
81000,National accounts of the Federation,JAHR,Year,2013,DINSG,Germany,DG,Germany,387.817,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,196.479,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,256.777,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,801.439,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,1176.368,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,3183,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,178.45,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,1433.145,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,2613,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,1780,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,374.929,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,190.026,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,249.606,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,770.038,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,1128.351,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,3100,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,168.287,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,1377.957,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,2539,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,1733,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2011,DINSG,Germany,DG,Germany,358.313,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,178.988,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,243.805,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,740.631,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,1076.71,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,3009,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,157.091,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,1320.515,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,2453,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,1688,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2010,DINSG,Germany,DG,Germany,336.079,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,253.707,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,330.796,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,1069.853,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,1572.99,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,3869,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,249.43,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,1903.786,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,3196,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,2174,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2019,DINSG,Germany,DG,Germany,503.137,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,249.4,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,313.792,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,1019.953,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,1506.927,EUR bn,VST006,Gross wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,3744,EUR,ETG006,Compens. of empl., monthly
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,237.574,EUR bn,STEU18,Income tax,e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,1820.719,EUR bn,ETG004,Compensation of employees (national concept),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,3099,EUR,VST036,Gr.wages a.salaries per month per empl.(nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,2097,EUR,VST037,Net wages and sal. per month per empl. (nat.conc.),e
81000,National accounts of the Federation,JAHR,Year,2018,DINSG,Germany,DG,Germany,486.974,EUR bn,ABZ002,Income tax and social contributions of employees,e
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,238.629,EUR bn,SOZ003,Employees' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,301.522,EUR bn,SOZ002,Employers' social contributions,e
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,972.209,EUR bn,VST013,Net wages and salaries (national concept),e
81000,National accounts of the Federation,JAHR,Year,2017,DINSG,Germany,DG,Germany,1435.676,EUR bn,VST006,Gross wages and salaries (national concept),e
