statistics_code,statistics_label,time_code,time_label,time,1_variable_code,1_variable_label,1_variable_attribute_code,1_variable_attribute_label,2_variable_code,2_variable_label,2_variable_attribute_code,2_variable_attribute_label,value,value_unit,value_variable_code,value_variable_label,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2085.128,unit app.,VGR039,Final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),329.642,unit app.,VGR018,Individual consumption expenditure of general gov.,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1503.418,unit app.,VGR026,Final consumption expenditure of households,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),209.228,unit app.,VGR040,Collective consumption expenditure of gen. gov.,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),274.098,unit app.,VGR009,GFCF in construction,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1546.258,unit app.,VGR035,Household final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),558.913,unit app.,VGR041,Gross fixed capital formation (GFCF),
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1194.889,unit app.,EXP001,Exports of goods and services,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2799.28,unit app.,VGR014,Gross domestic product,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),191.957,unit app.,VGR008,GFCF in machinery and equipment,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),538.87,unit app.,VGR015,Government final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),1025.826,unit app.,IMP001,Imports of goods and services,
81000,National accounts of the Federation,JAHR,Year,2012,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),545.089,unit app.,VGR012,Gross capital formation,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),33.864,unit app.,VGR034,Changes in inv.,p
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),59.185,unit app.,VGR028,Final consumption expenditure of NPISHs,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),167.59,unit app.,VGR022,Balance of exports and imports,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),4051.72,unit app.,VGR038,Domestic uses,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),163.725,unit app.,VGR042,GFCF in other products,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2769.842,unit app.,VGR094,Individual consumption,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),3123.713,unit app.,VGR039,Final consumption expenditure,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),551.331,unit app.,VGR018,Individual consumption expenditure of general gov.,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),2159.326,unit app.,VGR026,Final consumption expenditure of households,
81000,National accounts of the Federation,JAHR,Year,2023,DINSG,Germany,DG,Germany,VGRPB5,Price base (current prices / price-adjusted),VGRJPM,At current prices (bn EUR),353.871,unit app.,VGR040,Collective consumption expenditure of gen. gov.,
